Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
MSBI,Midland States Bancorp Inc.,25.88,0.97,3.7481,5/10/19,5/20/19
MSEX,Middlesex Water Company,60.09,0.96,1.5976,5/14/19,6/3/19
MSFT,Microsoft Corporation,139.29,1.84,1.321,5/15/19,6/13/19
MSVB,Mid-Southern Bancorp Inc.,12.5841,0.08,0.6357,5/16/19,6/3/19
MTEX,Mannatech Incorporated,16.4,0.5,3.0488,6/20/19,6/28/19
MTSC,MTS Systems Corporation,55.57,1.2,2.1594,6/17/19,7/2/19
MVBF,MVB Financial Corp.,16.88,0.16,0.9479,5/30/19,6/15/19
MXIM,Maxim Integrated Products Inc.,63.7,1.84,2.8885,5/29/19,6/14/19
NATH,Nathan's Famous Inc.,75.35,1.4,1.858,6/21/19,6/28/19
NATI,National Instruments Corporation,44.57,1,2.2437,5/10/19,6/3/19
NAVI,Navient Corporation,13.7,0.64,4.6715,6/6/19,6/21/19
NBN,Northeast Bank,21.08,0.04,0.1898,5/10/19,5/28/19
NBTB,NBT Bancorp Inc.,37.35,1.04,2.7845,5/30/19,6/14/19
NCMI,National CineMedia Inc.,6.82,0.68,9.9707,5/15/19,5/31/19
NDAQ,Nasdaq Inc.,100.86,1.88,1.864,6/13/19,6/28/19
NDSN,Nordson Corporation,140.19,1.4,0.9986,5/24/19,6/11/19
NEWT,Newtek Business Services Corp.,21.25,1.84,8.6588,6/13/19,6/28/19
NFBK,Northfield Bancorp Inc.,15.77,0.44,2.7901,5/7/19,5/22/19
NFTY,First Trust Exchange-Traded AlphDEX Fund II,35.8039,0.1916,0.5351,6/14/19,6/28/19
NGHC,National General Holdings Corp,22.82,0.16,0.7011,6/28/19,7/15/19
NKSH,National Bankshares Inc.,34.6,1.34,3.8728,5/24/19,6/3/19
NMRK,Newmark Group Inc.,9.78,0.4,4.09,5/24/19,6/12/19
NNBR,NN Inc.,8.48,0.28,3.3019,6/20/19,6/28/19
NRC,National Research Corporation,62.53,0.76,1.2154,6/27/19,7/15/19
NRIM,Northrim BanCorp Inc,36.31,1.2,3.3049,6/5/19,6/14/19
NSEC,National Security Group Inc.,11.21,0.2,1.7841,5/3/19,5/31/19
NTAP,NetApp Inc.,59.1,1.92,3.2487,7/3/19,7/24/19
NTIC,Northern Technologies International Corporation,11.05,0.24,2.1719,5/8/19,5/23/19
NTRS,Northern Trust Corporation,95.01,2.4,2.526,6/13/19,7/1/19
NVDA,NVIDIA Corporation,175.66,0.64,0.3643,5/30/19,6/21/19
NVEC,NVE Corporation,68.38,4,5.8497,5/10/19,5/31/19
NWBI,Northwest Bancshares Inc.,17.06,0.72,4.2204,5/1/19,5/16/19
NWFL,Norwood Financial Corp.,34.8,0.96,2.7586,7/12/19,8/1/19
NWL,Newell Brands Inc.,14.28,0.92,6.4426,5/30/19,6/14/19
NXPI,NXP Semiconductors N.V.,100.94,1,0.9907,6/13/19,7/5/19
NXST,Nexstar Media Group Inc.,99.52,1.8,1.8087,5/9/19,5/24/19
