Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
RNEM,First Trust Exchange-Traded Fund VI,51.96,0.8,1.5396,6/14/19,6/28/19
RNLC,First Trust Exchange-Traded Fund VI,23.3278,0.3688,1.5809,6/14/19,6/28/19
RNMC,First Trust Exchange-Traded Fund VI,22.2711,0.432,1.9397,6/14/19,6/28/19
RNSC,First Trust Exchange-Traded Fund VI,20.73,0.3948,1.9045,6/14/19,6/28/19
RNST,Renasant Corporation,34.08,0.88,2.5822,6/13/19,6/28/19
ROBT,First Trust Exchange-Traded Fund VI,33.51,0.36,1.0743,6/14/19,6/28/19
ROIC,Retail Opportunity Investments Corp.,17.75,0.788,4.4394,6/12/19,6/27/19
ROST,Ross Stores Inc.,106.11,1.02,0.9613,6/10/19,6/28/19
RRR,Red Rock Resorts Inc.,21.15,0.4,1.8913,6/13/19,6/28/19
RUSHA,Rush Enterprises Inc.,35.58,0.48,1.3491,5/8/19,6/10/19
RUSHB,Rush Enterprises Inc.,37.71,0.48,1.2729,5/8/19,6/10/19
RUTH,Ruth's Hospitality Group Inc.,22.05,0.52,2.3583,5/22/19,6/6/19
RVEN,Reven Housing REIT Inc.,4.08,0.04,0.9804,4/25/19,5/15/19
RVSB,Riverview Bancorp Inc,8.48,0.18,2.1226,7/11/19,7/23/19
SABR,Sabre Corporation,23.42,0.56,2.3911,6/20/19,6/28/19
SAFM,Sanderson Farms Inc.,130.64,1.28,0.9798,5/6/19,5/21/19
SAFT,Safety Insurance Group Inc.,95.59,3.2,3.3476,5/31/19,6/14/19
SAL,Salisbury Bancorp Inc.,38.25,1.12,2.9281,5/16/19,5/31/19
SALM,Salem Media Group Inc.,2.14,0.26,12.1495,6/13/19,6/28/19
SAMG,Silvercrest Asset Management Group Inc.,14.13,0.6,4.2463,6/13/19,6/21/19
SASR,Sandy Spring Bancorp Inc.,35.2,1.2,3.4091,5/7/19,5/15/19
SBBX,SB One Bancorp,22.53,0.3,1.3316,5/10/19,5/27/19
SBFG,SB Financial Group Inc.,16.52,0.36,2.1792,5/9/19,5/24/19
SBGI,Sinclair Broadcast Group Inc.,54.3,0.8,1.4733,5/30/19,6/17/19
SBNY,Signature Bank,125.22,2.24,1.7889,4/30/19,5/15/19
SBRA,Sabra Health Care REIT Inc.,20.68,1.8,8.7041,5/17/19,5/31/19
SBSI,Southside Bancshares Inc.,32.25,1.24,3.845,5/22/19,6/6/19
SBT,Sterling Bancorp Inc.,9.95,0.04,0.402,5/23/19,5/31/19
SBUX,Starbucks Corporation,90.11,1.44,1.598,5/8/19,5/24/19
SCHL,Scholastic Corporation,33,0.6,1.8182,4/29/19,6/17/19
SCHN,Schnitzer Steel Industries Inc.,26.08,0.75,2.8758,5/10/19,5/28/19
SCVL,Shoe Carnival Inc.,26.88,0.34,1.2649,7/5/19,7/22/19
SCZ,iShares Trust,57.72,1.864888,3.2309,6/17/19,6/21/19
SDG,iShares Trust,58.1778,1.090468,1.8744,6/17/19,6/21/19
SDVY,First Trust Exchange-Traded Fund VI,20.466,0.506,2.4724,6/14/19,6/28/19
SEIC,SEI Investments Company,57.75,0.66,1.1429,6/11/19,6/20/19
SELF,Global Self Storage Inc.,4.13,0.26,6.2954,6/14/19,6/28/19
SFBC,Sound Financial Bancorp Inc.,34.78,0.56,1.6101,5/8/19,5/23/19
SFBS,ServisFirst Bancshares Inc.,32.81,0.6,1.8287,6/28/19,7/12/19
SFNC,Simmons First National Corporation,24.77,0.64,2.5838,6/14/19,7/5/19
SGA,Saga Communications Inc.,30.37,1.2,3.9513,6/13/19,7/5/19
SGC,Superior Group of Companies Inc.,15.63,0.4,2.5592,5/14/19,5/29/19
SHBI,Shore Bancshares Inc,16.19,0.4,2.4707,5/16/19,5/31/19
SHOO,Steven Madden Ltd.,34.02,0.56,1.6461,6/17/19,6/28/19
SHV,iShares Trust,110.59,2.505012,2.2651,7/1/19,7/8/19
SHY,iShares Trust,84.59,1.871364,2.2123,7/1/19,7/8/19
SIGI,Selective Insurance Group Inc.,74.85,0.8,1.0688,5/14/19,6/3/19
SIRI,Sirius XM Holdings Inc.,6.04,0.0484,0.8013,5/9/19,5/31/19
SKIS,Peak Resorts Inc.,10.95,0.28,2.5571,7/24/19,8/9/19
SKOR,FlexShares Trust,51.79,1.53888,2.9714,7/1/19,7/8/19
SKYW,SkyWest Inc.,61.22,0.48,0.7841,6/27/19,7/5/19
SKYY,First Trust Exchange-Traded Fund II,59.28,0.4448,0.7503,6/14/19,6/28/19
SLGN,Silgan Holdings Inc.,30.19,0.44,1.4574,5/31/19,6/17/19
SLIM,Janus Detroit Street Trust,34.24,0.284968,0.8323,6/28/19,7/5/19
SLM,SLM Corporation,9.57,0.12,1.2539,6/6/19,6/17/19
SLP,Simulations Plus Inc.,35.69,0.24,0.6725,7/24/19,8/1/19
SLQD,iShares Trust,50.875,1.445112,2.8405,7/1/19,7/8/19
SLRC,Solar Capital Ltd.,20.51,1.64,7.9961,6/19/19,7/2/19
SLVO,Credit Suisse AG,6.97,0.18,2.5825,6/19/19,6/25/19
SMBC,Southern Missouri Bancorp Inc.,32.22,0.52,1.6139,5/14/19,5/31/19
SMMF,Summit Financial Group Inc.,25.81,0.6,2.3247,6/13/19,6/28/19
SNH,Senior Housing Properties Trust,8.41,0.6,7.1344,4/26/19,5/16/19
SNLN,Highland Funds I,17.6,0.877092,4.9835,7/15/19,7/31/19
SNSR,Global X Funds,20.28,0.161348,0.7956,6/27/19,7/8/19
SOHO,Sotherly Hotels Inc.,6.98,0.52,7.4499,6/13/19,7/11/19
SONA,Southern National Bancorp of Virginia Inc.,15.2,0.36,2.3684,5/10/19,5/24/19
SOXX,iShares Trust,213.91,3.029292,1.4162,6/17/19,6/21/19
SPAR,Spartan Motors Inc.,11.84,0.1,0.8446,5/16/19,6/17/19
SPFI,South Plains Financial Inc.,17.72,0.12,0.6772,7/23/19,8/7/19
SPKE,Spark Energy Inc.,10.94,0.725,6.6271,5/30/19,6/14/19
SPOK,Spok Holdings Inc.,14.12,0.5,3.5411,5/23/19,6/24/19
SPTN,SpartanNash Company,11.15,0.76,6.8161,6/13/19,6/28/19
SQLV,Legg Mason ETF Investment Trust,25.69,0.42,1.6349,6/17/19,6/20/19
SQQQ,ProShares Trust,31.47,0.976568,3.1032,6/25/19,7/2/19
SRCE,1st Source Corporation,44.99,1.08,2.4005,5/3/19,5/15/19
SRET,Global X Funds,14.91,1.1976,8.0322,7/3/19,7/12/19
SSB,South State Corporation,76.27,1.6,2.0978,5/9/19,5/17/19
SSBI,Summit State Bank,11.84,0.48,4.0541,5/16/19,5/24/19
SSFN,Stewardship Financial Corp,15.4585,0.12,0.7763,4/30/19,5/15/19
SSNC,SS&C Technologies Holdings Inc.,58.24,0.4,0.6868,5/31/19,6/17/19
SSP,E.W. Scripps Company (The),14.77,0.2,1.3541,6/13/19,6/25/19
STAF,Staffing 360 Solutions Inc.,1.69,0.04,2.3669,5/16/19,5/30/19
STBA,S&T Bancorp Inc.,37.24,1.08,2.9001,5/1/19,5/16/19
STFC,State Auto Financial Corporation,35.18,0.4,1.137,6/17/19,6/28/19
STLD,Steel Dynamics Inc.,32.1,0.96,2.9907,6/27/19,7/12/19
STND,Standard AVB Financial Corp.,27.73,0.884,3.1879,5/3/19,5/20/19
STRA,Strategic Education Inc.,186.67,2,1.0714,5/24/19,6/10/19
STRT,STRATTEC SECURITY CORPORATION,21.18,0.56,2.644,6/13/19,6/28/19
SUNS,Solar Senior Capital Ltd.,16.72,1.41,8.433,7/24/19,8/1/19
SUSB,iShares Trust,25.3,0.7281,2.8779,7/1/19,7/8/19
SUSC,iShares Trust,25.79,0.842712,3.2676,7/1/19,7/8/19
SUSL,iShares Trust,51.15,0.482928,0.9441,6/17/19,6/21/19
SVBI,Severn Bancorp Inc,8.53,0.12,1.4068,6/5/19,6/17/19
SWKS,Skyworks Solutions Inc.,84.54,1.52,1.798,5/20/19,6/11/19
SYBT,Stock Yards Bancorp Inc.,35.11,1.04,2.9621,6/14/19,7/1/19
SYMC,Symantec Corporation,22.81,0.3,1.3152,6/7/19,6/26/19
TACT,TransAct Technologies Incorporated,12,0.36,3,5/17/19,6/14/19
TAIT,Taitron Components Incorporated,3.08,0.12,3.8961,5/14/19,5/31/19
TBNK,Territorial Bancorp Inc.,29.13,0.88,3.0209,5/8/19,5/23/19
TCBK,TriCo Bancshares,37.01,0.76,2.0535,6/13/19,6/28/19
TCFC,The Community Financial Corporation,32.61,0.5,1.5333,7/5/19,7/22/19
TCPC,BlackRock TCP Capital Corp.,14.08,1.44,10.2273,6/13/19,6/28/19
TCRD,THL Credit Inc.,6.64,0.84,12.6506,6/13/19,6/28/19
TDIV,First Trust Exchange-Traded Fund VI,40.64,0.9124,2.2451,6/14/19,6/28/19
TECH,Bio-Techne Corp,208.02,1.28,0.6153,5/9/19,5/24/19
TER,Teradyne Inc.,48.09,0.36,0.7486,5/28/19,6/21/19
TERP,TerraForm Power Inc.,14.78,0.8056,5.4506,5/31/19,6/17/19
TESS,TESSCO Technologies Incorporated,15.9,0.8,5.0314,5/21/19,6/5/19
TFSL,TFS Financial Corporation,18.15,1,5.5096,6/10/19,6/25/19
THFF,First Financial Corporation Indiana,40.46,1.04,2.5704,6/14/19,7/2/19
TILE,Interface Inc.,15.47,0.26,1.6807,5/9/19,5/24/19
TIVO,TiVo Corporation,7.25,0.32,4.4138,6/4/19,6/19/19
TLT,iShares Trust,131.22,3.121944,2.3792,7/1/19,7/8/19
TOWN,Towne Bank,27.42,0.72,2.6258,6/27/19,7/10/19
TRCB,Two River Bancorp,13.92,0.28,2.0115,5/9/19,5/30/19
TRMK,Trustmark Corporation,32.51,0.92,2.8299,5/30/19,6/15/19
TRMT,Tremont Mortgage Trust,4.98,0.88,17.6707,4/26/19,5/16/19
TROW,T. Rowe Price Group Inc.,110.53,3.04,2.7504,6/13/19,6/28/19
TRST,TrustCo Bank Corp NY,7.71,0.2725,3.5344,6/6/19,7/1/19
TSBK,Timberland Bancorp Inc.,27.14,0.6,2.2108,5/14/19,5/29/19
TSCO,Tractor Supply Company,111.35,1.4,1.2573,5/24/19,6/11/19
TTEC,TTEC Holdings Inc.,46.7,0.6,1.2848,3/27/19,4/18/19
TTEK,Tetra Tech Inc.,84.58,0.6,0.7094,5/14/19,5/31/19
TTS,Tile Shop Hldgs Inc.,3.09,0.2,6.4725,5/3/19,5/17/19
TUR,iShares Inc.,25.7,1.183626,4.6055,6/17/19,6/21/19
TUSA,First Trust Exchange-Traded Fund,34.4275,0.3148,0.9144,6/14/19,6/28/19
TUSK,Mammoth Energy Services Inc.,6.39,0.5,7.8247,5/9/19,5/17/19
TW,Tradeweb Markets Inc.,50.04,0.32,0.6395,5/30/19,6/15/19
TXN,Texas Instruments Incorporated,120.07,3.08,2.5652,5/3/19,5/20/19
TYPE,Monotype Imaging Holdings Inc.,16.76,0.464,2.7685,6/28/19,7/19/19
UAE,iShares Trust,14.395,0.951838,6.6123,6/17/19,6/21/19
UBCP,United Bancorp Inc.,11.3702,0.54,4.7493,6/7/19,6/20/19
UBFO,United Security Bancshares,10.72,0.44,4.1045,7/5/19,7/18/19
UBNK,United Financial Bancorp Inc. ,14.15,0.48,3.3922,4/25/19,5/8/19
UBNT,Ubiquiti Networks Inc.,136.18,1,0.7343,5/17/19,5/28/19
UBOH,United Bancshares Inc.,21.01,0.52,2.475,5/30/19,6/17/19
UBSI,United Bankshares Inc.,36.8,1.36,3.6957,6/13/19,7/1/19
UCBI,United Community Banks Inc.,28.08,0.68,2.4217,6/13/19,7/5/19
UCFC,United Community Financial Corp.,9.24,0.28,3.0303,4/26/19,5/10/19
UFCS,United Fire Group Inc,47.8,1.32,2.7615,5/30/19,6/14/19
UFPI,Universal Forest Products Inc.,35.08,0.4,1.1403,5/30/19,6/15/19
UG,United-Guardian Inc.,20.0099,1.1,5.4973,5/30/19,6/14/19
UIHC,United Insurance Holdings Corp.,12.21,0.24,1.9656,5/13/19,5/21/19
ULH,Universal Logistics Holdings Inc.,21.94,0.42,1.9143,5/3/19,5/16/19
UMBF,UMB Financial Corporation,65.24,1.2,1.8394,6/7/19,7/1/19
UMPQ,Umpqua Holdings Corporation,16.9,0.84,4.9704,6/27/19,7/15/19
UNB,Union Bankshares Inc.,34.88,1.24,3.555,4/29/19,5/9/19
UNIT,Uniti Group Inc.,8.39,0.2,2.3838,6/27/19,7/15/19
UNTY,Unity Bancorp Inc.,21.05,0.32,1.5202,6/13/19,6/28/19
USIG,iShares Trust,56.99,2.029764,3.5616,7/1/19,7/8/19
USLB,Invesco Exchange-Traded Fund Trust II,33.28,0.78192,2.3495,6/24/19,6/28/19
USLM,United States Lime & Minerals Inc.,85.69,0.54,0.6302,5/23/19,6/14/19
USMC,Principal Exchange-Traded Funds,29.52,0.60768,2.0585,7/1/19,7/5/19
USOI,Credit Suisse AG,20.4697,2.3784,11.6191,6/19/19,6/25/19
UTMD,Utah Medical Products Inc.,87.36,1.1,1.2592,6/13/19,7/3/19
UVSP,Univest Financial Corporation,25.61,0.8,3.1238,6/3/19,7/1/19
VALU,Value Line Inc.,25.05,0.8,3.1936,4/26/19,5/10/19
VBTX,Veritex Holdings Inc.,25.08,0.5,1.9936,5/8/19,5/23/19
VCIT,Vanguard Scottsdale Funds,89.8,3.1332,3.4891,7/1/19,7/5/19
VCLT,Vanguard Scottsdale Funds,96.89,3.7368,3.8567,7/1/19,7/5/19
VCSH,Vanguard Scottsdale Funds,80.625,2.3076,2.8621,7/1/19,7/5/19
VETS,Pacer Funds,29.43,0.564259,1.9173,6/25/19,6/27/19
VGIT,Vanguard Scottsdale Funds,65.73,1.512,2.3003,7/1/19,7/5/19
VGLT,Vanguard Scottsdale Funds,80.68,2.0196,2.5032,7/1/19,7/5/19
VGSH,Vanguard Scottsdale Funds,60.81,1.3872,2.2812,7/1/19,7/5/19
VIA,Viacom Inc.,35.08,0.8,2.2805,6/14/19,7/1/19
VIAB,Viacom Inc.,30.05,0.8,2.6622,6/14/19,7/1/19
VIGI,Vanguard Whitehall Funds,68.0201,1.9204,2.8233,6/17/19,6/20/19
VIRT,Virtu Financial Inc.,21.76,0.96,4.4118,5/31/19,6/17/19
VLGEA,Village Super Market Inc.,24.58,1,4.0683,7/1/19,7/25/19
VLY,Valley National Bancorp,10.73,0.44,4.1007,6/13/19,7/1/19
VMBS,Vanguard Scottsdale Funds,52.91,1.3656,2.581,7/1/19,7/5/19
VNOM,Viper Energy Partners LP,29.75,1.52,5.1092,5/10/19,5/20/19
VNQI,Vanguard International Equity Index Funds,59.4,1.6252,2.736,6/17/19,6/20/19
VONE,Vanguard Scottsdale Funds,137.85,2.3356,1.6943,6/21/19,6/26/19
VONG,Vanguard Scottsdale Funds,167.26,1.9516,1.1668,6/21/19,6/26/19
VONV,Vanguard Scottsdale Funds,113.18,2.5952,2.293,6/21/19,6/26/19
VRIG,Invesco Actively Managed Exchange-Traded Fund Trus,24.87,0.76872,3.091,7/22/19,7/31/19
VRSK,Verisk Analytics Inc.,150.81,1,0.6631,6/13/19,6/28/19
VRTS,Virtus Investment Partners Inc.,105.95,2.2,2.0765,4/29/19,5/15/19
VSDA,Victory Portfolios II,33.8235,0.5004,1.4794,7/17/19,7/19/19
VSEC,VSE Corporation,26.36,0.36,1.3657,7/16/19,7/31/19
VSMV,Victory Portfolios II,31.48,0.796044,2.5287,7/17/19,7/19/19
VTC,Vanguard Scottsdale Funds,86.72,2.8164,3.2477,7/1/19,7/5/19
VTHR,Vanguard Scottsdale Funds,136.85,2.5372,1.854,6/21/19,6/26/19
VTIP,Vanguard Malvern Funds,49.39,0.6816,1.38,6/17/19,6/20/19
VTWG,Vanguard Scottsdale Funds,146.3,0.9908,0.6772,6/21/19,6/26/19
VTWO,Vanguard Scottsdale Funds,124.44,1.8448,1.4825,6/21/19,6/26/19
VTWV,Vanguard Scottsdale Funds,104.07,2.244,2.1562,6/21/19,6/26/19
VWOB,Vanguard Whitehall Funds,80.93,3.6684,4.5328,7/1/19,7/5/19
VXUS,Vanguard STAR Funds,53,2.4424,4.6083,6/21/19,6/26/19
VYMI,Vanguard Whitehall Funds,61.5,4.0812,6.6361,6/17/19,6/20/19
WABC,Westamerica Bancorporation,62.27,1.64,2.6337,5/3/19,5/17/19
WAFD,Washington Federal Inc.,35.58,0.8,2.2485,5/9/19,5/24/19
WASH,Washington Trust Bancorp Inc.,47.85,2.04,4.2633,6/28/19,7/12/19
WBA,Walgreens Boots Alliance Inc.,54.65,1.76,3.2205,5/17/19,6/12/19
WBND,Legg Mason ETF Investment Trust,26.9,2.788524,10.3663,7/1/19,7/5/19
WCFB,WCF Bancorp Inc.,8.675,0.2,2.3055,5/9/19,5/24/19
WDC,Western Digital Corporation,55.98,2,3.5727,6/27/19,7/15/19
WDFC,WD-40 Company,179.47,2.44,1.3596,7/18/19,7/31/19
WEBK,Wellesley Bancorp Inc.,31.2484,0.24,0.768,6/4/19,6/19/19
WEN,Wendy's Company (The),18.76,0.4,2.1322,5/31/19,6/17/19
WERN,Werner Enterprises Inc.,32.9,0.36,1.0942,6/28/19,7/16/19
WETF,WisdomTree Investments Inc.,6.45,0.12,1.8605,5/7/19,5/22/19
WEYS,Weyco Group Inc.,26.19,0.96,3.6655,5/30/19,6/28/19
WHF,WhiteHorse Finance Inc.,14.16,1.42,10.0282,6/19/19,7/3/19
WINA,Winmark Corporation,169.01,1,0.5917,5/7/19,6/3/19
WINC,Legg Mason ETF Investment Trust,25.98,1.0038,3.8637,7/1/19,7/5/19
WING,Wingstop Inc.,94.19,0.36,0.3822,6/6/19,6/21/19
WIRE,Encore Wire Corporation,55.41,0.08,0.1444,7/3/19,7/19/19
WNEB,Western New England Bancorp Inc.,9.08,0.2,2.2026,5/7/19,5/22/19
WOOD,iShares Trust,58.6,2.241256,3.8247,6/17/19,6/21/19
WSBC,WesBanco Inc.,37.69,1.24,3.29,6/6/19,7/1/19
WSBF,Waterstone Financial Inc.,16.86,0.48,2.847,7/11/19,8/2/19
WSFS,WSFS Financial Corporation,40.53,0.48,1.1843,5/8/19,5/23/19
WSTG,Wayside Technology Group Inc.,11.44,0.68,5.9441,5/17/19,5/24/19
WTBA,West Bancorporation,21.24,0.84,3.9548,5/7/19,5/22/19
WTFC,Wintrust Financial Corporation,68.16,1,1.4671,5/8/19,5/23/19
WVFC,WVS Financial Corp.,17.24,0.4,2.3202,5/10/19,5/23/19
WWD,Woodward Inc.,119.13,0.65,0.5456,5/17/19,6/3/19
WYNN,Wynn Resorts Limited,138.27,4,2.8929,5/21/19,5/30/19
XLNX,Xilinx Inc.,127.28,1.48,1.1628,5/15/19,6/3/19
XPER,Xperi Corporation ,21.01,0.8,3.8077,5/28/19,6/19/19
XRAY,DENTSPLY SIRONA Inc.,56.51,0.35,0.6194,6/27/19,7/12/19
XT,iShares Trust,39.44,0.717314,1.8187,6/17/19,6/21/19
YLCO,Global X Funds,13.77,0.4392,3.1895,5/7/19,5/15/19
YLDE,Legg Mason ETF Investment Trust,31.1761,0.79776,2.5589,6/25/19,6/28/19
YORW,The York Water Company,35.39,0.6932,1.9587,6/27/19,7/15/19
ZBIO,ProShares Trust,14.8,0.061964,0.4187,6/25/19,7/2/19
ZEUS,Olympic Steel Inc.,12.01,0.08,0.6661,5/31/19,6/17/19
ZION,Zions Bancorporation N.A.,42.83,1.2,2.8018,5/15/19,5/23/19
